id_course,req1,req2,req3,req4,req5,req6,req7,req8
90901,0,0,0,0,0,0,0,0
90905,0,0,0,0,0,0,0,0
40137,0,0,0,0,0,0,0,0
40114,0,0,0,0,0,0,0,0
40111,0,0,0,0,0,0,0,0
40107,0,0,0,0,0,0,0,0
40103,0,0,0,0,0,0,0,0
90902,90901,90905,0,0,0,0,0,0
90937,0,0,0,0,0,0,0,0
90911,0,0,0,0,0,0,0,0
10824,0,0,0,0,0,0,0,0
90926,0,0,0,0,0,0,0,0
90939,90937,0,0,0,0,0,0,0
90947,90937,0,0,0,0,0,0,0
10806,10824,0,0,0,0,0,0,0
40102,10824,40111,0,0,0,0,0,0
40105,90911,0,0,0,0,0,0,0
40129,0,0,0,0,0,0,0,0
40112,90905,90911,0,0,0,0,0,0
90914,90905,90902,0,0,0,0,0,0
40104,40137,40105,0,0,0,0,0,0
40132,40105,40137,0,0,0,0,0,0
40130,40105,0,0,0,0,0,0,0
40113,40105,0,0,0,0,0,0,0
10336,90905,0,0,0,0,0,0,0
90925,90905,90902,0,0,0,0,0,0
10805,10806,0,0,0,0,0,0,0
80899,0,0,0,0,0,0,0,0
40108,40137,40105,40129,0,0,0,0,0
40120,90914,90911,0,0,0,0,0,0
40135,40111,40102,0,0,0,0,0,0
40133,40132,40112,0,0,0,0,0,0
40225,40102,0,0,0,0,0,0,0
40219,40102,0,0,0,0,0,0,0
10230,90905,90902,90911,0,0,0,0,0
40123,40112,90926,0,0,0,0,0,0
40106,40103,0,0,0,0,0,0,0
40118,40105,0,0,0,0,0,0,0
40223,40135,0,0,0,0,0,0,0
40229,40105,0,0,0,0,0,0,0
40208,40120,40132,0,0,0,0,0,0
40238,40102,0,0,0,0,0,0,0
10310,10824,0,0,0,0,0,0,0
40220,40102,0,0,0,0,0,0,0
40205,0,0,0,0,0,0,0,0
40235,40105,10824,0,0,0,0,0,0
40214,40135,0,0,0,0,0,0,0
40231,40103,40132,0,0,0,0,0,0
40215,90911,90905,0,0,0,0,0,0
80898,0,0,0,0,0,0,0,0
40127,40105,40130,0,0,0,0,0,0
40139,40104,0,0,0,0,0,0,0
40134,10824,0,0,0,0,0,0,0
40401,0,0,0,0,0,0,0,0
40241,40102,40135,40223,0,0,0,0,0
40232,0,0,0,0,0,0,0,0
10206,90905,90911,0,0,0,0,0,0
40125,40102,90926,0,0,0,0,0,0
40109,0,0,0,0,0,0,0,0
40237,40113,0,0,0,0,0,0,0
40204,40113,0,0,0,0,0,0,0
40213,90911,0,0,0,0,0,0,0
40136,40132,40112,0,0,0,0,0,0
40124,40132,0,0,0,0,0,0,0
40211,40135,0,0,0,0,0,0,0
40209,40135,0,0,0,0,0,0,0
40240,40135,0,0,0,0,0,0,0
10237,10805,90911,0,0,0,0,0,0
10246,10805,90902,90911,0,0,0,0,0
40221,40130,40127,0,0,0,0,0,0
40222,40102,0,0,0,0,0,0,0
40239,40105,0,0,0,0,0,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
