id_course,pos_sem1,pos_sem2,pos_sem3
90901,1,1,999
90905,1,1,999
40137,1,1,999
40114,1,1,1
40111,1,999,1
40107,1,999,1
40103,1,999,999
90902,999,1,999
90937,999,1,999
90911,999,1,1
10824,999,1,1
90926,999,1,1
90939,1,999,1
90947,1,999,1
10806,1,1,999
40102,1,999,1
40105,1,1,999
40129,1,1,999
40112,1,999,999
90914,1,1,999
40104,999,1,1
40132,1,1,999
40130,999,1,999
40113,1,1,999
10336,999,1,1
90925,999,1,1
10805,999,1,999
80899,1,1,1
40108,1,999,999
40120,1,999,999
40135,1,999,1
40133,1,999,1
40225,1,999,999
40219,1,999,999
10230,1,999,999
40123,999,1,1
40106,999,1,999
40118,999,1,999
40223,999,1,1
40229,999,1,1
40208,999,1,999
40238,999,1,999
10310,999,1,999
40220,999,1,999
40205,999,1,999
40235,999,1,999
40214,999,1,999
40231,999,1,999
40215,999,1,999
80898,1,1,1
40127,1,999,999
40139,1,1,999
40134,1,999,999
40401,1,999,999
40241,1,999,999
40232,1,999,999
10206,1,999,999
40125,1,999,999
40109,1,999,999
40237,1,999,999
40204,1,999,999
40213,1,999,999
40136,999,1,999
40124,999,1,1
40211,999,1,999
40209,999,1,999
40240,999,1,999
10237,999,1,999
10246,999,1,999
40221,999,1,999
40222,999,1,999
40239,999,1,999
,,,
,,,
,,,
,,,
,,,
,,,
